state,category,number,date
northeast,Agriculture/Livestock Sector,0,2022-06-05
northeast,Volunteer Radio Groups,0,2022-06-05
northeast,Science/Engineering Organizations,0,2022-06-05
northeast,Media Organizations,0,2022-06-05
northeast,Other,0,2022-06-05
oregon,"<tr><td align=""left""><a href=""https://www.shakeout.org/oregon/participant_list.php?start=oregon&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">25</td></tr>",25,2022-06-05
oregon,Childcare and Pre-Schools,19,2022-06-05
oregon,K-12 Schools and Districts,"1,455",2022-06-05
oregon,Colleges and Universities,0,2022-06-05
oregon,Local Government,750,2022-06-05
oregon,State Government,58,2022-06-05
oregon,Federal/National Government (Including Military),36,2022-06-05
oregon,Tribes/Indigenous Peoples,0,2022-06-05
oregon,Businesses,30,2022-06-05
oregon,Hotels and Other Lodgings,0,2022-06-05
oregon,Healthcare,603,2022-06-05
oregon,Senior Facilities/Communities,50,2022-06-05
oregon,Disability/AFN Organizations,0,2022-06-05
oregon,Non-Profit Organizations,800,2022-06-05
oregon,Neighborhood Groups,0,2022-06-05
oregon,Preparedness Organizations,0,2022-06-05
oregon,Faith-based Organizations,0,2022-06-05
oregon,"Museums, Libraries, Parks, etc.",0,2022-06-05
oregon,Animal Shelter/Service Providers,0,2022-06-05
oregon,Agriculture/Livestock Sector,0,2022-06-05
oregon,Volunteer Radio Groups,7,2022-06-05
oregon,Science/Engineering Organizations,0,2022-06-05
oregon,Media Organizations,0,2022-06-05
oregon,Other,0,2022-06-05
puertorico,"<tr><td align=""left""><a href=""https://www.shakeout.org/puertorico/participant_list.php?start=puertorico&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">32</td></tr>",32,2022-06-05
puertorico,Childcare and Pre-Schools,31,2022-06-05
puertorico,K-12 Schools and Districts,"1,035",2022-06-05
puertorico,Colleges and Universities,0,2022-06-05
puertorico,Local Government,25,2022-06-05
puertorico,State Government,449,2022-06-05
puertorico,Federal/National Government (Including Military),0,2022-06-05
puertorico,Businesses,0,2022-06-05
puertorico,Hotels and Other Lodgings,0,2022-06-05
puertorico,Healthcare,505,2022-06-05
puertorico,Senior Facilities/Communities,109,2022-06-05
puertorico,Disability/AFN Organizations,0,2022-06-05
puertorico,Non-Profit Organizations,8,2022-06-05
puertorico,Neighborhood Groups,0,2022-06-05
puertorico,Preparedness Organizations,0,2022-06-05
puertorico,Faith-based Organizations,0,2022-06-05
puertorico,"Museums, Libraries, Parks, etc.",10,2022-06-05
puertorico,Animal Shelter/Service Providers,0,2022-06-05
puertorico,Agriculture/Livestock Sector,0,2022-06-05
puertorico,Volunteer Radio Groups,15,2022-06-05
puertorico,Science/Engineering Organizations,0,2022-06-05
puertorico,Media Organizations,0,2022-06-05
puertorico,Other,22,2022-06-05
southeast,"<tr><td align=""left""><a href=""https://www.shakeout.org/southeast/participant_list.php?start=southeast&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">25</td></tr>",25,2022-06-05
southeast,Childcare and Pre-Schools,98,2022-06-05
southeast,K-12 Schools and Districts,"20,254",2022-06-05
southeast,Colleges and Universities,"1,310",2022-06-05
southeast,Local Government,33,2022-06-05
southeast,State Government,0,2022-06-05
southeast,Federal/National Government (Including Military),0,2022-06-05
southeast,Tribes/Indigenous Peoples,0,2022-06-05
southeast,Businesses,23,2022-06-05
southeast,Hotels and Other Lodgings,0,2022-06-05
southeast,Healthcare,"1,044",2022-06-05
southeast,Senior Facilities/Communities,150,2022-06-05
southeast,Disability/AFN Organizations,0,2022-06-05
southeast,Non-Profit Organizations,85,2022-06-05
southeast,Neighborhood Groups,0,2022-06-05
southeast,Preparedness Organizations,0,2022-06-05
southeast,Faith-based Organizations,0,2022-06-05
southeast,"Museums, Libraries, Parks, etc.",0,2022-06-05
southeast,Animal Shelter/Service Providers,0,2022-06-05
southeast,Agriculture/Livestock Sector,0,2022-06-05
southeast,Volunteer Radio Groups,0,2022-06-05
southeast,Science/Engineering Organizations,0,2022-06-05
southeast,Media Organizations,0,2022-06-05
southeast,Other,11,2022-06-05
texas,"<tr><td align=""left""><a href=""https://www.shakeout.org/texas/participant_list.php?start=texas&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">2</td></tr>",2,2022-06-05
texas,Childcare and Pre-Schools,0,2022-06-05
texas,K-12 Schools and Districts,0,2022-06-05
texas,Colleges and Universities,0,2022-06-05
texas,Local Government,0,2022-06-05
texas,State Government,0,2022-06-05
texas,Federal/National Government (Including Military),150,2022-06-05
texas,Tribes/Indigenous Peoples,0,2022-06-05
texas,Businesses,75,2022-06-05
texas,Hotels and Other Lodgings,12,2022-06-05
texas,Healthcare,0,2022-06-05
texas,Senior Facilities/Communities,0,2022-06-05
texas,Disability/AFN Organizations,0,2022-06-05
texas,Non-Profit Organizations,0,2022-06-05
texas,Neighborhood Groups,0,2022-06-05
