state,category,number,date
oregon,Volunteer Radio Groups,7,2022-06-14
oregon,Science/Engineering Organizations,0,2022-06-14
oregon,Media Organizations,0,2022-06-14
oregon,Other,0,2022-06-14
puertorico,"<tr><td align=""left""><a href=""https://www.shakeout.org/puertorico/participant_list.php?start=puertorico&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">32</td></tr>",32,2022-06-14
puertorico,Childcare and Pre-Schools,31,2022-06-14
puertorico,K-12 Schools and Districts,"1,035",2022-06-14
puertorico,Colleges and Universities,625,2022-06-14
puertorico,Local Government,25,2022-06-14
puertorico,State Government,449,2022-06-14
puertorico,Federal/National Government (Including Military),0,2022-06-14
puertorico,Businesses,0,2022-06-14
puertorico,Hotels and Other Lodgings,0,2022-06-14
puertorico,Healthcare,505,2022-06-14
puertorico,Senior Facilities/Communities,109,2022-06-14
puertorico,Disability/AFN Organizations,0,2022-06-14
puertorico,Non-Profit Organizations,8,2022-06-14
puertorico,Neighborhood Groups,0,2022-06-14
puertorico,Preparedness Organizations,0,2022-06-14
puertorico,Faith-based Organizations,0,2022-06-14
puertorico,"Museums, Libraries, Parks, etc.",10,2022-06-14
puertorico,Animal Shelter/Service Providers,0,2022-06-14
puertorico,Agriculture/Livestock Sector,0,2022-06-14
puertorico,Volunteer Radio Groups,15,2022-06-14
puertorico,Science/Engineering Organizations,0,2022-06-14
puertorico,Media Organizations,0,2022-06-14
puertorico,Other,22,2022-06-14
southeast,"<tr><td align=""left""><a href=""https://www.shakeout.org/southeast/participant_list.php?start=southeast&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">25</td></tr>",25,2022-06-14
southeast,Childcare and Pre-Schools,98,2022-06-14
southeast,K-12 Schools and Districts,"24,109",2022-06-14
southeast,Colleges and Universities,"1,310",2022-06-14
southeast,Local Government,33,2022-06-14
southeast,State Government,0,2022-06-14
southeast,Federal/National Government (Including Military),0,2022-06-14
southeast,Tribes/Indigenous Peoples,0,2022-06-14
southeast,Businesses,23,2022-06-14
southeast,Hotels and Other Lodgings,0,2022-06-14
southeast,Healthcare,"1,044",2022-06-14
southeast,Senior Facilities/Communities,150,2022-06-14
southeast,Disability/AFN Organizations,0,2022-06-14
southeast,Non-Profit Organizations,85,2022-06-14
southeast,Neighborhood Groups,0,2022-06-14
southeast,Preparedness Organizations,0,2022-06-14
southeast,Faith-based Organizations,0,2022-06-14
southeast,"Museums, Libraries, Parks, etc.",0,2022-06-14
southeast,Animal Shelter/Service Providers,0,2022-06-14
southeast,Agriculture/Livestock Sector,0,2022-06-14
